Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Price Range,Price Change %,Turnover per Trade,Anomaly,Year
2000-01-03,RELIANCE,EQ,233.05,237.5,251.7,237.5,251.7,251.7,249.37,4456424,111131914445000.0,0.0,0.0,0.0,14.199999999999989,5.978947368421047,0.0,0,2000
2000-01-04,RELIANCE,EQ,251.7,258.4,271.85,251.3,271.85,271.85,263.52,9487878,250022190690000.0,0.0,0.0,0.0,20.55000000000001,5.205108359133145,0.0,0,2000
2000-01-05,RELIANCE,EQ,271.85,256.65,287.9,256.65,286.75,282.5,274.79,26833684,737369727570000.0,0.0,0.0,0.0,31.25,10.072082602766423,0.0,0,2000
2000-01-06,RELIANCE,EQ,282.5,289.0,300.7,289.0,293.5,294.35,295.45,15682286,463325404090000.0,0.0,0.0,0.0,11.699999999999989,1.8512110726643678,0.0,0,2000
2000-01-07,RELIANCE,EQ,294.35,295.0,317.9,293.0,314.5,314.55,308.91,19870977,613838765740000.0,0.0,0.0,0.0,24.899999999999977,6.6271186440678,0.0,0,2000
2000-01-10,RELIANCE,EQ,314.55,317.4,318.7,305.3,306.65,308.5,312.35,13417057,419085494795000.0,0.0,0.0,0.0,13.399999999999977,-2.8040327662255757,0.0,0,2000
2000-01-11,RELIANCE,EQ,308.5,307.95,310.95,283.85,288.5,288.5,296.4,12544322,371819207090000.0,0.0,0.0,0.0,27.099999999999966,-6.315960383179084,0.0,0,2000
2000-01-12,RELIANCE,EQ,288.5,289.0,305.0,282.15,304.7,301.7,294.57,12109507,356708113910000.0,0.0,0.0,0.0,22.850000000000023,4.394463667820065,0.0,0,2000
2000-01-13,RELIANCE,EQ,301.7,306.0,316.4,304.1,309.75,311.85,311.79,17076042,532418081645000.0,0.0,0.0,0.0,12.299999999999955,1.9117647058823604,0.0,0,2000
2000-01-14,RELIANCE,EQ,311.85,309.5,321.65,309.5,317.0,316.3,316.17,13460592,425587852020000.0,0.0,0.0,0.0,12.149999999999977,2.197092084006466,0.0,0,2000
2000-01-17,RELIANCE,EQ,316.3,318.25,322.9,307.05,307.5,308.75,315.77,10729180,338798432540000.0,0.0,0.0,0.0,15.849999999999966,-2.9850746268656714,0.0,0,2000
2000-01-18,RELIANCE,EQ,308.75,309.0,318.95,305.55,318.25,314.2,312.14,10083321,314736518215000.0,0.0,0.0,0.0,13.399999999999977,1.6828478964401257,0.0,0,2000
2000-01-19,RELIANCE,EQ,314.2,322.85,324.9,316.2,318.8,319.6,321.17,11481392,368749027475000.0,0.0,0.0,0.0,8.699999999999989,-1.0066594393681274,0.0,0,2000
2000-01-20,RELIANCE,EQ,319.6,320.0,324.9,310.55,311.5,312.85,318.95,15428711,492094858760000.06,0.0,0.0,0.0,14.349999999999966,-2.234374999999993,0.0,0,2000
2000-01-21,RELIANCE,EQ,312.85,312.7,328.4,312.0,327.5,326.35,322.05,17137072,551904815270000.0,0.0,0.0,0.0,16.399999999999977,4.365206267988499,0.0,0,2000
2000-01-24,RELIANCE,EQ,326.35,325.5,331.85,322.0,326.5,326.15,327.87,13163301,431588146595000.0,0.0,0.0,0.0,9.850000000000023,0.19969278033793464,0.0,0,2000
2000-01-25,RELIANCE,EQ,326.15,325.05,325.3,318.25,321.05,319.95,321.77,9752949,313821754210000.0,0.0,0.0,0.0,7.050000000000011,-1.5689893862482767,0.0,0,2000
2000-01-27,RELIANCE,EQ,319.95,329.0,336.8,322.7,334.5,334.95,331.67,15014556,497986348055000.0,0.0,0.0,0.0,14.100000000000023,1.808510638297869,0.0,0,2000
2000-01-28,RELIANCE,EQ,334.95,335.9,341.9,331.6,337.25,338.35,337.97,11734252,396581784920000.0,0.0,0.0,0.0,10.299999999999955,0.7293837451622643,0.0,0,2000
2000-01-31,RELIANCE,EQ,338.35,334.45,336.0,326.55,327.05,328.15,331.46,10191331,337800823870000.0,0.0,0.0,0.0,9.449999999999989,-1.883689639706985,0.0,0,2000
2000-02-01,RELIANCE,EQ,328.15,330.8,337.45,328.0,336.05,334.05,334.35,10707804,358013722035000.0,0.0,0.0,0.0,9.449999999999989,0.9824667472793228,0.0,0,2000
2000-02-02,RELIANCE,EQ,334.05,342.9,346.9,338.55,339.1,340.15,343.07,9950848,341388434825000.0,0.0,0.0,0.0,8.349999999999966,-0.8019830854476525,0.0,0,2000
2000-02-03,RELIANCE,EQ,340.15,342.0,343.5,336.4,342.5,341.65,340.17,6771527,230344678100000.0,0.0,0.0,0.0,7.100000000000023,-0.10233918128655635,0.0,0,2000
